Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.2443181818181817,2.0,0,86
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.2443181818181817,2.0,0,86
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.2443181818181817,2.0,0,86
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.2443181818181817,2.0,0,86
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.2443181818181817,2.0,0,86
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.2443181818181817,2.0,0,86
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.2443181818181817,2.0,0,86
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.2443181818181817,2.0,0,86
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.2443181818181817,2.0,0,86
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.2443181818181817,2.0,0,86
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.488636363636363,1.5,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.488636363636363,1.5,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.488636363636363,1.5,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.488636363636363,1.5,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.488636363636363,1.5,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.488636363636363,1.5,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.488636363636363,1.5,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.488636363636363,1.5,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.488636363636363,1.5,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.488636363636363,1.5,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.971590909090909,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.971590909090909,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.971590909090909,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.971590909090909,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.971590909090909,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.971590909090909,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.971590909090909,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.971590909090909,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.971590909090909,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.971590909090909,2.0,0,87
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.721590909090909,1.0,0,87
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.721590909090909,1.0,0,87
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.721590909090909,1.0,0,87
